channel,participant_id,time_of_day,minute,AU,mean,median,std,min,max,range,rms,variance,cv,trend_slope,trend_r2,autocorr_lag1,fft_mean,fft_max,dominant_freq
R,3,afternoon,1,2.42474413004214,125.83693748137331,125.25519262713681,2.3201892524672925,122.96348034959534,133.5201296269848,10.556649277389468,125.858325560363,5.383278167264733,0.01843806197704352,0.005827687282832216,0.0018921094622780473,0.8867522041569961,11.668423846604439,48.25378503755414,2.0
R,3,afternoon,2,2.42474413004214,126.06059793070351,125.62178368060289,0.9942018573610679,124.7721545414847,128.28965405906465,3.5174995175799495,126.0645183546095,0.9884373331801973,0.007886697934184967,-0.03414022744119413,0.3536586464233301,0.8712824504919687,5.178594263064137,26.44954241543916,1.0
R,3,afternoon,3,2.42474413004214,126.39627540436938,126.430418603178,0.8471131062383773,125.07627668648296,128.5384637508897,3.4621870644067343,126.3991140661672,0.7176006147608323,0.0067020416816971585,0.01798290980615342,0.13515674705412808,0.8901026866191651,3.9981591594614323,19.692384001269012,1.0
R,3,afternoon,4,2.42474413004214,128.21397517453573,128.2469005051015,1.5935679181803848,125.28911531116314,131.32529050560277,6.036175194439622,128.22387799768936,2.5394587098537658,0.012428972082698437,0.015403217126830609,0.028020915437327945,0.9041369906689709,6.694693340912289,43.1054032235599,1.0
R,3,afternoon,0,1.39349660423956,111.96376797134425,113.10932048098579,5.275116642436526,101.54956565685006,126.0725579858258,24.522992328975732,112.0879663207979,27.826855591310807,0.04711449728375953,0.10108275593462163,0.11012619004628439,0.9025971681427578,21.750539354392174,121.19533290912491,4.0
R,3,afternoon,1,1.39349660423956,115.38240251128771,115.41366282963614,0.5524295904445743,114.38780808161698,116.21828331609844,1.8304752344814545,115.38372496903197,0.3051784523987601,0.004787814938613821,-0.011357214222242968,0.12676237559804335,0.9215907851400763,2.0913915834216557,17.479218729842138,4.0
R,3,afternoon,2,1.39349660423956,115.37420725752358,115.30568020448388,0.613446308168568,114.3670897453419,116.7623512264515,2.3952614811096,115.37583809738942,0.3763163730056458,0.005317014285057157,0.022340819010086856,0.39778249437835356,0.9273579982130282,2.3970987723920456,17.371254084586617,1.0
R,3,afternoon,3,1.39349660423956,113.16071451078857,113.13410314489954,1.4504934792215587,110.7712421986619,115.8064020228436,5.035159824181704,113.1700103380991,2.103931333264262,0.012817995055652384,-0.08145065626204186,0.9457105084244114,0.9949318222154448,6.677742197785309,47.01550922984668,1.0
R,3,afternoon,4,1.39349660423956,104.04412131469482,103.36400672537542,3.719196792200871,97.16842154729802,111.91485924992725,14.746437702629223,104.11057393428419,13.832424779117247,0.035746342463638274,-0.17817391745300296,0.688320241374732,0.9624505029945025,18.161066010119377,100.06267522979053,3.0
R,3,evening,0,2.06078741114284,88.8658558520116,87.79376241941239,4.153442340672492,78.90118863056979,102.26779730862648,23.366608678056693,88.96286539667996,17.25108327729099,0.04673833724306713,-0.17461830755291202,0.5301072918159002,0.9572957884797383,25.497331505174103,106.9348737922896,1.0
R,3,evening,1,2.06078741114284,83.72389270502671,83.59098940721974,1.9496030087544522,78.36578836448474,87.37644275044667,9.010654385961928,83.74658895486174,3.8009518917444125,0.023286100843284592,0.013685681312108896,0.014778864699368816,0.9409943844644183,9.405085333151415,60.898326894630785,1.0
R,3,evening,2,2.06078741114284,84.54755697964464,84.87745582651075,2.047147210892293,79.99787700502017,87.95142262599694,7.953545620976769,84.57233710220689,4.190811703064094,0.02421296704224141,0.01855047459921959,0.024627056282622555,0.9308674412453948,9.218561141880837,55.538352613066166,2.0
R,3,evening,3,2.06078741114284,85.51851656664793,84.89415562716545,3.18981200878634,80.38539501092643,94.6312594769491,14.245864466022667,85.57798534910384,10.174900651397545,0.03729966487348267,0.10169193369112217,0.30481998290021545,0.9120474502184751,14.903449123577047,69.88433660175836,2.0
R,3,evening,4,2.06078741114284,87.4196353020696,87.13993486065453,2.4919511273119483,83.49250481663324,95.52572202547957,12.033217208846324,87.45514539904308,6.20982042091129,0.028505622545967054,0.03592156226048512,0.06232065252333192,0.9214783644620365,11.492138245632782,55.25467829123716,2.0
R,3,afternoon,0,1.60526857378061,128.3471769177615,128.41575657613996,3.5398589884369613,113.64103588789818,135.71646280135676,22.07542691345857,128.39598289828692,12.530601658017948,0.027580341641868164,-0.003915064010385375,0.00036686510963867576,0.9232021684824036,19.569567207937506,102.96203991373471,2.0
R,3,afternoon,1,1.60526857378061,128.161895297956,128.02972973985368,2.742487390996078,123.52644901828384,135.4730565526108,11.946607534326972,128.19123465921533,7.521237089772474,0.021398617618803507,-0.038903891392266104,0.06035279810442919,0.8633228592599059,13.931751306495462,67.27252942031238,4.0
R,3,afternoon,2,1.60526857378061,126.67629855710166,125.8682827563791,4.158486886337557,118.90998987535868,137.38416307845714,18.47417320309846,126.74453688152323,17.29301318384143,0.03282766337015102,0.014779650211939449,0.0037884210373297497,0.8801227629948413,18.164652986286818,108.97668297689698,3.0
R,3,afternoon,3,1.60526857378061,130.20933959111144,129.80501883254018,7.330297999881553,117.55794933991427,144.66000603123757,27.1020566913233,130.4155105250923,53.73326876706751,0.05629625357395625,0.034084771782974616,0.006484524279624055,0.8579662181694478,30.476199279862257,200.9329469818768,5.0
