t0,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24,t25,t26,t27,t28,t29,t30,t31,t32,t33,t34,t35,t36,t37,t38,t39,t40,t41,t42,t43,t44,t45,t46,t47,t48,t49,t50,t51,t52,t53,t54,t55,t56,t57,t58,t59,file,AU,date,time_of_day,minute,channel,participant_id
139.4270406703543,137.29747592157383,135.43291520388814,133.83335851729726,132.49880586180117,131.4292572374002,130.80300954943485,128.45667501113465,128.8967151349886,130.252269513982,130.93409065374215,132.27066705160738,130.7473691957965,128.4141184098744,126.14575820473551,124.07070825020304,122.7483728081664,122.13223908222828,122.23669212320436,123.19862745685772,125.22081129605954,125.59973049265052,124.99504219567817,123.38723068518512,125.35068190082006,126.73621353908624,127.98403123480416,128.71762619844642,128.84711246017778,128.19470552796338,127.56115857833927,126.80771258512478,126.12177536881174,125.70410050126164,127.79283603893714,128.0006252855818,127.83369787918326,127.19815584844798,126.24757933668046,124.7421581623959,124.5025350234354,125.6667496956275,126.3327389866023,127.21365017804624,127.56510603437528,127.46265659625035,126.95088724604764,125.98057225256515,123.40835286030688,122.392210134039,124.90285947053329,126.70753659299326,127.99282500201303,129.5682783785195,129.96191116978758,129.62875411129488,128.31092524037942,126.04986759321574,122.6523493707342,122.26601244117352,22-12-28-rings-afternoon_min0,2.42474413004214,2022-12-28,afternoon,0,R,3
123.8406237962734,124.3340685985362,125.57048129191114,126.16253262422012,126.38395171487792,126.22308566156414,125.69177523800906,124.86103133723884,123.54255942464955,123.1760268121412,123.82952898858878,124.73906356817376,125.06793839269756,125.25428692511662,125.1555762172715,123.62580494087132,124.65423681349272,124.48782016134317,125.37072024406037,129.07671313080616,132.020173327451,133.42803181966022,133.5201296269848,132.42740721598426,130.0042355101642,126.31744095091165,124.94886984476445,122.96348034959534,123.22493511823068,125.256098329157,125.73908721520986,125.93914307311968,125.90246764500004,125.4173390604992,124.83419084584322,124.7650460274997,124.7036617019979,125.1341417789422,125.24404767813702,125.33419538803928,125.2223260165025,124.96587341912662,124.52284744519216,123.96452720134994,123.52604930110428,123.9014532006417,124.34050741721327,124.7881686062988,125.33077343055858,125.71334410620872,125.95628169652264,126.05944051678428,125.58084129968924,125.2735550522872,125.093091926559,125.73593128538722,127.09811007265124,127.89900244712535,128.48621651050084,128.58595954166054,22-12-28-rings-afternoon_min1,2.42474413004214,2022-12-28,afternoon,1,R,3
128.20820995929807,127.07324532640553,125.95621876850626,125.51715786552012,125.9412602938763,126.59735679289548,127.32932555658373,127.5429332515445,127.54740340766986,127.29872742843652,126.67501412748386,125.4835145147294,125.22045378100552,125.82648056782764,126.74836755942998,127.20320971286787,127.34736190890288,127.28959030345676,127.03168989347822,126.5942973783628,125.66225730389964,125.05090799177836,125.40800546660736,126.69470316473856,127.50740622984158,128.08679774064552,128.28965405906465,128.0689637865824,127.46469239385854,126.55936197582248,125.51247826566932,125.1343051364992,125.1341555373582,125.60258526622258,125.80894724464916,125.95325344017294,125.95584145321764,125.87408649987869,125.6409820949832,125.35311031478297,125.2057358810163,125.03743234719164,124.83147250170556,124.7721545414847,124.7909564009429,124.88497038564442,125.01063760922231,125.1395960511571,125.20808019559291,125.33284682700554,125.34838892063084,125.33291601318344,125.1833723396196,125.2413513879262,125.46088864583145,125.56039304123962,125.59030481339435,125.57387473673784,125.56132578904035,125.37486364909036,22-12-28-rings-afternoon_min2,2.42474413004214,2022-12-28,afternoon,2,R,3
125.29886999190666,125.41624096777063,125.44432839978737,125.515916266163,125.59461216858348,125.59022025251024,125.53859062974507,125.50981396089922,125.36536868990808,125.07627668648296,125.6244490467738,126.24161747236582,126.64665822598296,126.84401187901864,126.88304876928665,126.74604073556095,126.44876513259628,126.15377408849798,125.60412045086557,125.16755828589866,125.354242324401,125.56722466069164,125.76272890910263,125.79816811704664,125.96072920328788,126.45776500114404,127.50807011848056,128.18608377858325,128.44566939434355,128.5384637508897,128.33337722826244,127.94110967980671,127.22224289471744,126.33736530425008,125.55336243139472,125.99886669435224,126.80923431807572,127.16067068695564,127.38488487812822,127.44798325802944,127.28504444226652,127.01797461691336,126.54417892999354,126.04479120140287,125.25220631740407,125.99428200598736,126.41207207375972,126.68058664009946,126.7421091516839,126.72330614111972,126.66077690901722,126.63783647265343,126.48315585601806,126.20069521780992,125.90090752546683,126.39266530891176,126.5364453426152,126.63456863941528,126.6175352461628,126.53686149091284,22-12-28-rings-afternoon_min3,2.42474413004214,2022-12-28,afternoon,3,R,3
126.50692946914506,126.51570809826596,126.37810007161934,126.195624105496,126.15975552529716,126.2602320896278,126.21255479758604,126.2250045128048,126.09250684162744,125.3527955283888,125.28911531116314,125.89998042174958,126.70898311967196,127.86756538366924,129.66556087523813,130.92700422610224,131.32529050560277,130.19540368142515,130.39493967785194,129.62112448216826,128.74395655289905,128.48014658368874,128.49360732554698,129.6973696327057,130.89757419102563,131.12808162157893,130.21675045808368,129.57432748405824,130.08464887740018,129.57938863208324,129.3324031959724,129.451189975263,129.59501479651783,130.02947810525697,129.6270189642374,128.9182179945411,127.35820269957618,127.0508223533579,126.89484688531522,127.3612954474504,128.2931806043871,128.65101938223913,128.67723284078937,128.11701902155855,128.20062040581593,127.43649922243642,126.65489919777924,127.14049062338916,128.68789558007137,129.494916635395,129.8684253453323,129.6906870378443,129.03113960476628,127.58881722072962,127.68644572025958,126.93036211850242,126.7230089754424,126.94890984669962,127.54974939199715,127.1586711956502,22-12-28-rings-afternoon_min4,2.42474413004214,2022-12-28,afternoon,4,R,3
114.41325508546235,108.8320962511181,104.91833482821508,102.6719708167533,102.09300421673277,103.18143502815376,107.2695004022357,113.2772540229776,120.37576747257326,124.2054073378739,126.0725579858258,124.56247123978692,120.30913713281076,113.49275698058251,109.0718708102166,105.26953362478888,102.92982118252704,101.54956565685006,104.56820441232546,104.74472953484432,106.67632180655104,108.059834540376,108.01881096038258,109.42510007624506,109.33906427147878,110.22607600287137,109.1314808397538,108.98759012135736,109.79194943362512,108.2253473476682,109.10101323972326,109.35980456927422,109.6444522730166,112.51203330703883,111.94085598336412,112.89296078640548,112.48923539834084,113.82686129111764,113.69672103028016,112.94138693899396,113.52221648600457,114.58444610390536,115.71818901704472,116.8198509836911,115.6808652576086,115.18117519548358,114.72102539038058,114.41715913099924,114.3134878764435,114.4730609410634,114.76350224139024,115.05899923485808,115.0184175865761,114.94869113235436,114.80232526174288,114.58641283563274,114.51581255873695,114.60514089910586,114.84034635153296,115.15937955558178,22-12-27-rings-afternoon_min0,1.39349660423956,2022-12-27,afternoon,0,R,3
115.36292404554668,115.53138444397584,115.39601422587933,115.33059752518686,115.32357871249688,115.40019879145824,115.54693200582936,115.79255170774458,115.9389871122445,116.10627257661632,116.11336334879552,116.0543850684333,115.79173070926488,115.61227587112118,115.52947387911004,115.39835957968148,115.40314724393843,115.5436729416962,115.74270716180224,116.05166704802537,116.1799397561628,116.21828331609844,116.11774701577028,115.96069199425116,115.72988119138,115.42417841533384,115.05355672577356,114.68451652790918,114.42336071836628,114.38780808161698,114.43337588915148,114.6384962110772,114.92664673361898,115.24300045736086,115.6189472165022,115.94126643580374,115.90744331977456,115.81841784261177,115.58735086934917,115.31957188955144,115.02000157125065,114.7576572847128,114.52034910593738,114.41231884468132,114.49084281810644,114.69438427607037,114.93928566327146,115.2608626487402,115.53541296257252,115.85590860174662,116.08634047187672,116.15354160619546,116.01443811901704,115.75050695055936,115.34282167710924,115.00996470481418,114.71838249621844,114.52656915482136,114.50595660169056,114.76390051155956,22-12-27-rings-afternoon_min1,1.39349660423956,2022-12-27,afternoon,1,R,3
115.09985632358196,115.25802193336048,115.28505767943888,115.19236354850337,115.03260202817992,114.85035889458402,114.6431105796354,114.46328866724323,114.42701683986836,114.63033527731795,114.8981920784734,115.02837541885444,115.21128606430412,115.42394582717198,115.48784241734327,115.37323102957892,115.10417584689212,114.72136558088728,114.55188973165076,114.60702336742956,114.71054753625027,114.75378050091926,115.0134968511663,115.48502467779298,115.82409691514827,115.89285521777754,115.70802888674932,115.37018925884726,115.06347217741636,114.8123720327158,114.46947320802715,114.3670897453419,114.62986080285802,115.06429762283076,115.27760838999168,115.32630272952888,115.3420597015814,115.07102617196306,115.04434267701734,115.10026854095568,115.34223643354792,115.90276056275052,116.44654562110374,116.7623512264515,116.65933111094438,116.49350552134148,116.26670363012752,115.8471394485966,115.8199376836217,115.77361167371608,116.029883670883,116.28101514626005,116.4506682664855,116.4125430106183,116.1971768837017,115.9671083146633,115.76792741308904,115.56667868686634,115.4559814101961,115.39379695727284,22-12-27-rings-afternoon_min2,1.39349660423956,2022-12-27,afternoon,2,R,3
115.46534571144387,115.45254399702928,115.5820620490239,115.75263426980425,115.8064020228436,115.74082348067816,115.62456942217644,115.4539050285672,115.11795022721176,114.784149628843,114.4611816960936,114.19030738021408,114.16713817650378,114.24432537439856,114.30871550694688,114.3835507480152,114.40587793137256,114.32972835158094,114.0893760438509,113.84386111441296,113.60885280942549,113.32593383607988,113.12512535639522,113.05663333082722,113.14308093340388,113.2483375875679,113.44620307237408,113.63462522177436,113.7914769644742,113.86305664505493,113.73579783803544,113.4456401308642,113.1203585792559,112.86552348102852,112.63311488103406,112.3749050983706,112.2358735706814,112.16730439753368,112.16276003450857,112.16376153811152,112.07494803150404,111.99821401668471,111.88451654138476,111.88681729108404,111.766893433387,111.590825138172,111.53428943777573,111.558287590546,111.51422500303909,111.59130264463286,111.67159488101252,111.67195663241483,111.68729262797976,111.68550826173129,111.55890349100582,111.4203360615955,111.30583389324318,111.17417646137764,110.94289354226952,110.7712421986619,22-12-27-rings-afternoon_min3,1.39349660423956,2022-12-27,afternoon,3,R,3
110.62212367545388,110.45635589600244,110.51168486002028,110.69199148829776,110.9116963411972,111.91485924992725,111.9075294063851,110.8699141869801,109.44568175067688,106.82095448781226,105.81420643153248,104.70806152054882,103.77578825560128,103.24924744316036,102.20175268702874,102.63826239226896,103.57828499639146,103.7352587839584,102.70496615970112,101.98823950239176,103.45733011560309,104.39377177691466,105.27587215297967,106.9202077586056,106.009206969353,107.35170307001766,107.7781029477703,108.00938453316218,106.67196216212898,105.73621989766664,104.54515774370124,102.50913552739809,101.6449149326884,102.96067997077394,102.33508292972424,102.89132183419414,101.2472991190476,102.99260942211026,103.46886549160254,103.27068333514777,101.64296956372952,101.26470071979988,101.21000469189886,103.49582415456536,104.0859974708053,103.82598908733176,102.77040542649316,102.22374890663164,102.24508192401044,101.52584427678111,100.23132706249282,100.44023467337756,99.47838446532546,100.18333510445925,99.85590225148007,99.22989449794892,98.40671938720877,97.24002303097026,97.16842154729802,98.1060994331549,22-12-27-rings-afternoon_min4,1.39349660423956,2022-12-27,afternoon,4,R,3
